User ID,Behavior,Timestamp
User_001,Price Sensitivity,2025-01-18 03:45:09
User_002,Impulse Buying,2025-01-10 01:10:09
User_003,Coupon Hunting,2025-02-05 07:26:09
User_004,Product Comparison,2025-01-11 13:09:09
User_005,Social Media Ad Clickthrough,2025-01-15 21:36:09
User_006,Subscription Box Signup,2025-01-29 00:46:09
User_007,Price Sensitivity,2025-02-01 01:05:09
User_008,Browsing Without Purchase,2025-02-08 08:17:09
User_009,Personalized Recommendation Interaction,2025-01-28 18:42:09
User_010,Repeat Purchase,2025-02-05 22:53:09
User_011,Email Campaign Engagement,2025-02-08 05:54:09
User_012,Subscription Box Signup,2025-01-28 21:16:09
User_013,Email Campaign Engagement,2025-01-28 10:25:09
User_014,Social Media Ad Clickthrough,2025-01-14 22:48:09
User_015,Coupon Hunting,2025-01-14 20:52:09
User_016,Desktop Browsing,2025-01-27 06:10:09
User_017,Social Media Ad Clickthrough,2025-01-16 08:46:09
User_018,Search Query Refinement,2025-01-17 23:04:09
User_019,Flash Sale Participation,2025-02-03 12:30:09
User_020,Subscription Box Signup,2025-01-24 13:23:09
User_021,Email Campaign Engagement,2025-01-09 04:12:09
User_022,Personalized Recommendation Interaction,2025-02-08 08:38:09
User_023,Email Campaign Engagement,2025-01-25 03:13:09
User_024,Product Review Reading,2025-01-08 23:33:09
User_025,Product Comparison,2025-01-16 10:24:09
User_026,Mobile App Browsing,2025-01-30 01:02:09
User_027,Browsing Without Purchase,2025-02-07 11:44:09
User_028,Product Review Reading,2025-01-09 21:00:09
User_029,Price Sensitivity,2025-02-08 04:27:09
User_030,Flash Sale Participation,2025-01-18 13:55:09
User_031,Search Query Refinement,2025-01-21 04:36:09
User_032,Coupon Hunting,2025-01-30 10:45:09
User_033,Mobile App Browsing,2025-02-02 22:09:09
User_034,Price Sensitivity,2025-01-18 14:50:09
User_035,Product Comparison,2025-01-21 23:51:09
User_036,Wishlist Addition,2025-01-22 15:01:09
User_037,Product Review Reading,2025-01-09 18:02:09
User_038,Desktop Browsing,2025-01-12 09:53:09
User_039,Mobile App Browsing,2025-02-05 22:38:09
User_040,Product Comparison,2025-01-28 00:32:09
User_041,Personalized Recommendation Interaction,2025-02-02 01:57:09
User_042,Price Sensitivity,2025-01-31 18:43:09
User_043,Product Comparison,2025-01-16 21:37:09
