event_type,timestamp,userId,pageType,slug,productId,skuId,quantity,source,category,subcategory,search_term,results_count
plp_page_view,2025-02-08T08:00:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,plp,skiing-trunks,,,,,Adventure,Adventure_sports,,
search_page_view,2025-02-08T08:00:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,search,,,,,,,,yoga-pants,20
home_page_view,2025-02-08T08:00:00Z,550e8400-e29b-41d4-a716-446655440000,home_page,,,,,,,,,
pdp_page_view,2025-02-08T08:00:00Z,550e8400-e29b-41d4-a716-446655440000,pdp,mascara,prod_7095,,,google_ad,Beauty,Makeup,,
home_page_view,2025-02-08T08:02:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,home_page,,,,,,,,,
pdp_page_view,2025-02-08T08:03:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,pdp,sports-bra,prod_5072,,,email,Wellness,Wellness_Wearables,,
home_page_view,2025-02-08T08:03:00Z,550e8400-e29b-41d4-a716-446655440000,home_page,,,,,,,,,
remove_from_cart,2025-02-08T08:03:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,prod_2620,prod_2620_sku_129,3,direct,Sports,Equipment,,
home_page_view,2025-02-08T08:06:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,home_page,,,,,,,,,
pdp_page_view,2025-02-08T08:06:00Z,550e8400-e29b-41d4-a716-446655440000,pdp,shampoo,prod_7515,,,social_media,Beauty,Haircare,,
remove_from_wishlist,2025-02-08T08:08:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,prod_6383,prod_6383_sku_206,3,social_media,Fashion,Ethnic,,
checkout_complete_item_level,2025-02-08T08:08:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,prod_3210,prod_3210_sku_639,1,google_ad,Fitness,Wearables,,
plp_page_view,2025-02-08T08:10:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,plp,skiing-trunks,,,,,Adventure,Adventure_sports,,
