event_type,timestamp,user_id,post_id,story_id,reel_id,ad_id,content_type,category,sub_category,author_id,engagement_time,session_duration,like_duration,view_duration,view_percentage,source,placement,destination,campaign_id,impression_id,creative_type,reason_category,share_type,platform,recipient_count,collection_id,sound_on,position,completion_type,comment_id,comment_type,reply_to_comment_id,text_length,mentioned_users
bookmark_post,2025-02-08T08:00:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,post_175,,,,carousel,Outdoor,Hiking,creator_85,3,,,,,explore,,,,,,,,,,collection_outdoor,,,,,,,,
profile_view,2025-02-08T08:01:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,,,video,Outdoor,Camping,creator_19,3,152,,,,search,,,,,,,,,,,,,,,,,,
profile_view,2025-02-08T08:02:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,,,,photo,Adventure,Climbing,creator_71,3,173,,,,feed,,,,,,,,,,,,,,,,,,
like_post,2025-02-08T08:03:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,post_309,,,,carousel,Beauty,Haircare,creator_38,6,,,,,feed,,,,,,,,,,,,,,,,,,
story_view,2025-02-08T08:06:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,story_413,,,video,Beauty,Skincare,creator_56,2,,,13,69,explore,,,,,,,,,,,false,,,,,,,
story_view,2025-02-08T08:06:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,,story_663,,,photo,Lifestyle,Home,creator_14,7,,,10,76,feed,,,,,,,,,,,true,,,,,,,
unlike_post,2025-02-08T08:06:00Z,4j5k6l7m-8n9o-0p1q-2r3s-abcdef012345,post_990,,,,carousel,Beauty,Makeup,creator_84,9,,492,,,profile,,,,,,,,,,,,,,,,,,
profile_view,2025-02-08T08:07:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,,,photo,Sports,Football,creator_66,10,291,,,,search,,,,,,,,,,,,,,,,,,
profile_view,2025-02-08T08:08:00Z,3g4h5i6j-7k8l-9m0n-1o2p-789abcdef012,,,,,photo,Food,Cooking,creator_46,6,247,,,,search,,,,,,,,,,,,,,,,,,
ad_click,2025-02-08T08:08:00Z,550e8400-e29b-41d4-a716-446655440000,,,,ad_462,carousel,Movie,Action,creator_76,9,,,,,search,story,profile,camp_2,imp_462,product_showcase,,,,,,,,,,,,,
profile_view,2025-02-08T08:08:00Z,2f3e4d5c-6b7a-8c9d-0e1f-456789abcdef,,,,,photo,Lifestyle,Fashion,creator_16,5,251,,,,search,,,,,,,,,,,,,,,,,,
story_view,2025-02-08T08:09:00Z,91a3b7c8-d4e5-4f6g-8h9i-123456789abc,,story_466,,,video,Adventure,Skydiving,creator_23,3,,,9,55,feed,,,,,,,,,,,true,,,,,,,
